,Name of the Company,BSE_Symbol,NSE_Symbol
292,JSW Holdings Ltd,532642,JSWHL
293,Affle India Ltd,542752,AFFLE
294,Navin Fluorine International Ltd,532504,NAVINFLUOR
295,Inox Wind Ltd,539083,INOXWIND
296,Hatsun Agro Product Ltd,531531,HATSUN
297,Welspun Corp Ltd,532144,WELCORP
298,BASF India Ltd,500042,BASF
299,Amber Enterprises India Ltd,540902,AMBER
300,Timken India Ltd,522113,TIMKEN
301,Sundram Fasteners Ltd,500403,SUNDRMFAST
302,Redington Ltd,532805,REDINGTON
303,Nuvama Wealth Management Ltd,543988,NUVAMA
304,K E C International Ltd,532714,KEC
305,Delhivery Ltd,543529,DELHIVERY
306,Angel One Ltd,543235,ANGELONE
307,Jyoti CNC Automation Ltd,544081,JYOTICNC
308,SKF India Ltd,500472,SKFINDIA
309,CESC Ltd,500084,CESC
310,Mangalore Refinery And Petrochemicals Ltd,500109,MRPL
311,Pfizer Ltd,500680,PFIZER
312,Kansai Nerolac Paints Ltd,500165,KANSAINER
313,Astrazeneca Pharma India Ltd,506820,ASTRAZEN
314,Amara Raja Energy & Mobility Ltd,500008,ARE%26M
315,Concord Biotech Ltd,543960,CONCORDBIO
316,Ratnamani Metals & Tubes Ltd,520111,RATNAMANI
317,Aditya Birla Sun Life AMC Ltd,543374,ABSLAMC
318,Carborundum Universal Ltd,513375,CARBORUNIV
319,Manappuram Finance Ltd,531213,MANAPPURAM
320,TVS Holdings Ltd,520056,TVSHLTD
321,PTC Industries Ltd,539006,PTCIL
322,Chalet Hotels Ltd,542399,CHALET
323,Aadhar Housing Finance Ltd,544176,AADHARHFC
324,ERIS Lifesciences Ltd,540596,ERIS
325,Atul Ltd,500027,ATUL
326,Bikaji Foods International Ltd,543653,BIKAJI
327,Grindwell Norton Ltd,506076,GRINDWELL
328,Gujarat State Petronet Ltd,532702,GSPL
329,Sarda Energy & Minerals Ltd,504614,SARDAEN
330,Zensar Technologies Ltd,504067,ZENSARTECH
331,Vinati Organics Ltd,524200,VINATIORGA
332,LMW Ltd,500252,LMW
333,Karur Vysya Bank Ltd,590003,KARURVYSYA
334,DCM Shriram Ltd,523367,DCMSHRIRAM
335,Jindal Saw Ltd,500378,JINDALSAW
336,Triveni Turbine Ltd,533655,TRITURBINE
337,Bata India Ltd,500043,BATAINDIA
338,Anant Raj Ltd,515055,ANANTRAJ
339,Doms Industries Ltd,544045,DOMS
340,Alembic Pharmaceuticals Ltd,533573,APLLTD
341,Computer Age Management Services Ltd,543232,CAMS
342,Anand Rathi Wealth Ltd,543415,ANANDRATHI
343,Century Plyboards (India) Ltd,532548,CENTURYPLY
344,Kalpataru Projects International Ltd,522287,KPIL
345,Aptus Value Housing Finance India Ltd,543335,APTUS
346,Schneider Electric Infrastructure Ltd,534139,SCHNEIDER
347,Neuland Laboratories Ltd,524558,NEULANDLAB
348,KFin Technologies Ltd,543720,KFINTECH
349,CIE Automotive India Ltd,532756,CIEINDIA
350,Asahi India Glass Ltd,515030,ASAHIINDIA
351,Garden Reach Shipbuilders & Engineers Ltd,542011,GRSE
352,CreditAccess Grameen Ltd,541770,CREDITACC
353,Natco Pharma Ltd,524816,NATCOPHARM
354,Godrej Agrovet Ltd,540743,GODREJAGRO
355,KIOCL Ltd,540680,KIOCL
356,SignatureGlobal India Ltd,543990,SIGNATURE
357,Aarti Industries Ltd,524208,AARTIIND
358,Akzo Nobel India Ltd,500710,AKZOINDIA
359,PCBL Chemical Ltd,506590,PCBL
360,Jubilant Pharmova Ltd,530019,JUBLPHARMA
361,Blue Dart Express Ltd,526612,BLUEDART
362,TBO Tek Ltd,544174,TBOTEK
363,Indian Energy Exchange Ltd,540750,IEX
364,Cyient Ltd,532175,CYIENT
365,International Gemmological Institute (India) Ltd,544311,IGIL
366,Newgen Software Technologies Ltd,540900,NEWGEN
367,V-Guard Industries Ltd,532953,VGUARD
368,Caplin Point Laboratories Ltd,524742,CAPLIPOINT
369,Blue Jet Healthcare Ltd,544009,BLUEJET
370,BLS International Services Ltd,540073,BLS
371,Elgi Equipments Ltd,522074,ELGIEQUIP
372,Kajaria Ceramics Ltd,500233,KAJARIACER
373,Embassy Developments Ltd,532832,EMBDL
374,Reliance Power Ltd,532939,RPOWER
375,Ircon International Ltd,541956,IRCON
376,Swan Energy Ltd,503310,SWANENERGY
377,Capri Global Capital Ltd,531595,CGCL
378,Rainbow Childrens Medicare Ltd,543524,RAINBOW
379,AAVAS Financiers Ltd,541988,AAVAS
380,IIFL Finance Ltd,532636,IIFL
381,Deepak Fertilizers & Petrochemicals Corp Ltd,500645,DEEPAKFERT
382,Clean Science & Technology Ltd,543318,CLEAN
383,Trident Ltd,521064,TRIDENT
384,Tejas Networks Ltd,540595,TEJASNET
385,Action Construction Equipment Ltd,532762,ACE
386,eClerx Services Ltd,532927,ECLERX
387,Sobha Ltd,532784,SOBHA
388,Jupiter Wagons Ltd,533272,JWL
389,JBM Auto Ltd,532605,JBMA
390,HBL Engineering Ltd,517271,HBLENGINE
391,Finolex Cables Ltd,500144,FINCABLES
392,Mahanagar Gas Ltd,539957,MGL
393,Kirloskar Brothers Ltd,500241,KIRLOSBROS
394,Indegene Ltd,544172,INDGN
395,Alivus Life Sciences Ltd,543322,ALIVUS
396,Ramkrishna Forgings Ltd,532527,RKFORGE
397,Cello World Ltd,544012,CELLO
398,Minda Corporation Ltd,538962,MINDACORP
399,Sanofi India Ltd,500674,SANOFI
400,Craftsman Automation Ltd,543276,CRAFTSMAN
401,Jai Balaji Industries Ltd,532976,JAIBALAJI
402,Whirlpool of India Ltd,500238,WHIRLPOOL
403,Bombay Burmah Trading Corporation Ltd,501425,BBTC
404,EID Parry (India) Ltd,500125,EIDPARRY
405,Great Eastern Shipping Company Ltd,500620,GESHIP
406,Jyothy Labs Ltd,532926,JYOTHYLAB
407,Gravita India Ltd,533282,GRAVITA
408,HFCL Ltd,500183,HFCL
409,Nava Ltd,513023,NAVA
410,Birlasoft Ltd,532400,BSOFT
411,Aether Industries Ltd,543534,AETHER
412,Transformers & Rectifiers India Ltd,532928,TARIL
413,UTI Asset Management Company Ltd,543238,UTIAMC
414,Indiamart Intermesh Ltd,542726,INDIAMART
415,Granules India Ltd,532482,GRANULES
416,NCC Ltd,500294,NCC
417,L T Foods Ltd,532783,LTFOODS
418,Tata Teleservices (Maharashtra) Ltd,532371,TTML
419,IFCI Ltd,500106,IFCI
420,Fine Organic Industries Ltd,541557,FINEORG
421,Vardhman Textiles Ltd,502986,VTL
422,Welspun Living Ltd,514162,WELSPUNLIV
423,City Union Bank Ltd,532210,CUB
424,Nuvoco Vistas Corporation Ltd,543334,NUVOCO
425,Finolex Industries Ltd,500940,FINPIPE
426,KSB Ltd,500249,KSB
427,Techno Electric & Engineering Company Ltd,542141,TECHNOE
428,Westlife Foodworld Ltd,505533,WESTLIFE
429,Godawari Power & Ispat Ltd,532734,GPIL
430,Sanofi Consumer Healthcare India Ltd,544250,SANOFICONR
431,Sonata Software Ltd,532221,SONATSOFTW
432,Ingersoll-Rand (India) Ltd,500210,INGERRAND
433,Relaxo Footwears Ltd,530517,RELAXO
434,Avanti Feeds Ltd,512573,AVANTIFEED
435,Happiest Minds Technologies Ltd,543227,HAPPSTMNDS
436,Jammu and Kashmir Bank Ltd,532209,J%26KBANK
437,Supreme Petrochem Ltd,500405,SPLPETRO
438,Maharashtra Scooters Ltd,500266,MAHSCOOTER
439,BEML Ltd,500048,BEML
440,Vijaya Diagnostic Centre Ltd,543350,VIJAYA
441,NMDC Steel Ltd,543768,NSLNISP
442,R R Kabel Ltd,543981,RRKABEL
443,CEAT Ltd,500878,CEATLTD
444,Zen Technologies Ltd,533339,ZENTEC
445,Safari Industries (India) Ltd,523025,SAFARI
446,Lemon Tree Hotels Ltd,541233,LEMONTREE
447,Inox Wind Energy Ltd,543297,IWEL
448,Rites Ltd,541556,RITES
449,Jubilant Ingrevia Ltd,543271,JUBLINGREA
450,Zydus Wellness Ltd,531335,ZYDUSWELL
451,Shakti Pumps (India) Ltd,531431,SHAKTIPUMP
452,Sapphire Foods India Ltd,543397,SAPPHIRE
453,Ami Organics Ltd,543349,AMIORG
454,Jupiter Life Line Hospitals Ltd,543980,JLHL
455,Force Motors Ltd,500033,FORCEMOT
456,Usha Martin Ltd,517146,USHAMART
457,G R Infraprojects Ltd,543317,GRINFRA
458,Sammaan Capital Ltd,535789,SAMMAANCAP
459,Choice International Ltd,531358,CHOICEIN
460,Titagarh Rail Systems Ltd,532966,TITAGARH
461,RBL Bank Ltd,540065,RBLBANK
462,Garware Hi Tech Films Ltd,500655,GRWRHITECH
463,Eureka Forbes Ltd,543482,EUREKAFORB
464,Praj Industries Ltd,522205,PRAJIND
465,Zee Entertainment Enterprises Ltd,505537,ZEEL
466,Elecon Engineering Company Ltd,505700,ELECON
467,SBFC Finance Ltd,543959,SBFC
468,PVR Inox Ltd,532689,PVRINOX
469,Quess Corp Ltd,539978,QUESS
470,Railtel Corporation of India Ltd,543265,RAILTEL
471,Jaiprakash Power Ventures Ltd,532627,JPPOWER
472,JM Financial Ltd,523405,JMFINANCIL
473,Saregama India Ltd,532163,SAREGAMA
474,India Cements Ltd,530005,INDIACEM
475,Intellect Design Arena Ltd,538835,INTELLECT
476,Home First Finance Company India Ltd,543259,HOMEFIRST
477,Balrampur Chini Mills Ltd,500038,BALRAMCHIN
478,C.E. Info Systems Ltd,543425,MAPMYINDIA
479,Marksans Pharma Ltd,524404,MARKSANS
480,Allied Blenders & Distillers Ltd,544203,ABDL
481,ITD Cementation India Ltd,509496,ITDCEM
482,Olectra Greentech Ltd,532439,OLECTRA
483,Inox India Ltd,544046,INOXINDIA
484,Engineers India Ltd,532178,ENGINERSIN
485,Arvind Ltd,500101,ARVIND
486,Waaree Renewables Technologies Ltd,534618,
487,Tega Industries Ltd,543413,TEGA
488,Azad Engineering Ltd,544061,AZAD
489,Raymond Ltd,500330,RAYMOND
490,Kirloskar Oil Engines Ltd,533293,KIRLOSENG
491,Ganesh Housing Corporation Ltd,526367,GANESHHOUC
492,Reliance Infrastructure Ltd,500390,RELINFRA
493,Netweb Technologies India Ltd,543945,NETWEB
494,Medplus Health Services Ltd,543427,MEDPLUS
495,Mrs Bectors Food Specialities Ltd,543253,BECTORFOOD
496,Alkyl Amines Chemicals Ltd,506767,ALKYLAMINE
497,Edelweiss Financial Services Ltd,532922,EDELWEISS
498,Time Technoplast Ltd,532856,TIMETECHNO
499,Maharashtra Seamless Ltd,500265,MAHSEAMLES
500,Procter & Gamble Health Ltd,500126,PGHL
501,Star Cement Ltd,540575,STARCEMENT
502,Va Tech Wabag Ltd,533269,WABAG
503,TTK Prestige Ltd,517506,TTKPRESTIG
504,Metropolis Healthcare Ltd,542650,METROPOLIS
505,RHI Magnesita India Ltd,534076,RHIM
506,Alok Industries Ltd,521070,ALOKINDS
507,JK Lakshmi Cement Ltd,500380,JKLAKSHMI
508,Religare Enterprises Ltd,532915,RELIGARE
509,Anupam Rasayan India Ltd,543275,ANURAS
510,Vesuvius India Ltd,520113,VESUVIUS
511,Nazara Technologies Ltd,543280,NAZARA
512,Genus Power Infrastructures Ltd,530343,GENUSPOWER
513,India Shelter Finance Corporation Ltd,544044,INDIASHLTR
514,Gallantt Ispat Ltd.,532726,GALLANTT
515,Can Fin Homes Ltd,511196,CANFINHOME
516,Sheela Foam Ltd,540203,SFL
517,Latent View Analytics Ltd,543398,LATENTVIEW
518,Campus Activewear Ltd,543523,CAMPUS
519,Galaxy Surfactants Ltd,540935,GALAXYSURF
520,Aurionpro Solutions Ltd,532668,AURIONPRO
521,Tips Music Ltd,532375,TIPSMUSIC
522,Data Patterns (India) Ltd,543428,DATAPATTNS
523,Gujarat Mineral Development Corporation Ltd,532181,GMDCLTD
524,Symphony Ltd,517385,SYMPHONY
525,Shriram Pistons & Rings Ltd,544344,SHRIPISTON
526,Triveni Engineering and Industries Ltd,532356,TRIVENI
527,Garware Technical Fibres Ltd,509557,GARFIBRES
528,Paradeep Phosphates Ltd,543530,PARADEEP
529,Kama Holdings Ltd,532468,
530,CCL Products (India) Ltd,519600,CCL
531,KPI Green Energy Ltd,542323,KPIGREEN
532,MMTC Ltd,513377,MMTC
533,Kirloskar Ferrous Industries Ltd,500245,KIRLFER
534,Redtape Ltd,543957,REDTAPE
535,Graphite India Ltd,509488,GRAPHITE
536,Syrma SGS Technology Ltd,543573,SYRMA
537,Happy Forgings Ltd,544057,HAPPYFORGE
538,Bengal & Assam Company Ltd,533095,
539,Shaily Engineering Plastics Ltd,501423,SHAILY
540,Transport Corporation of India Ltd,532349,TCI
541,Birla Corporation Ltd,500335,BIRLACORPN
542,Epigral Ltd,543332,EPIGRAL
543,ISGEC Heavy Engineering  Ltd,533033,ISGEC
544,CMS Info Systems Ltd,543441,CMSINFO
545,JK Tyre & Industries Ltd,530007,JKTYRE
546,ASK Automotive Ltd,544022,ASKAUTOLTD
547,Cartrade Tech Ltd,543333,CARTRADE
